layer,feature_id,closed,seq,lon,lat
road,w53572278_0,0,19,123.4881774,41.7607430
road,w53572278_0,0,20,123.4883570,41.7607210
road,w53572278_0,0,21,123.4884039,41.7607023
road,w53572278_0,0,22,123.4884922,41.7606720
footway,w53572373_0,1,0,123.4573475,41.7566339
footway,w53572373_0,1,1,123.4574783,41.7567294
footway,w53572373_0,1,2,123.4575728,41.7567620
footway,w53572373_0,1,3,123.4576370,41.7567841
footway,w53572373_0,1,4,123.4578904,41.7567886
footway,w53572373_0,1,5,123.4580594,41.7567361
footway,w53572373_0,1,6,123.4581334,41.7566935
footway,w53572373_0,1,7,123.4582441,41.7565848
footway,w53572373_0,1,8,123.4582997,41.7564456
footway,w53572373_0,1,9,123.4582867,41.7563095
footway,w53572373_0,1,10,123.4581983,41.7561703
footway,w53572373_0,1,11,123.4580652,41.7560767
footway,w53572373_0,1,12,123.4579151,41.7560260
footway,w53572373_0,1,13,123.4577827,41.7560168
footway,w53572373_0,1,14,123.4577330,41.7560133
footway,w53572373_0,1,15,123.4574922,41.7560737
footway,w53572373_0,1,16,123.4573574,41.7561660
footway,w53572373_0,1,17,123.4573362,41.7561946
footway,w53572373_0,1,18,123.4572821,41.7562676
footway,w53572373_0,1,19,123.4572705,41.7563441
footway,w53572373_0,1,20,123.4572534,41.7564566
footway,w53572373_0,1,21,123.4572748,41.7564968
footway,w53572373_0,1,22,123.4573475,41.7566339
footway,w53572390_0,0,0,123.4572705,41.7563441
footway,w53572390_0,0,1,123.4571458,41.7563276
footway,w53572390_0,0,2,123.4568024,41.7562821
footway,w53572390_0,0,3,123.4564502,41.7562354
footway,w53572390_0,0,4,123.4558814,41.7561600
footway,w53572390_0,0,5,123.4555176,41.7561118
footway,w53572390_0,0,6,123.4553974,41.7560959
footway,w53572390_0,0,7,123.4553140,41.7560848
footway,w53572390_0,0,8,123.4542107,41.7559386
footway,w53572390_0,0,9,123.4536160,41.7558598
footway,w53572390_0,0,10,123.4528799,41.7558077
footway,w53572390_0,0,11,123.4514647,41.7557109
footway,w53572390_0,0,12,123.4505486,41.7557454
footway,w53572390_0,0,13,123.4499257,41.7557519
footway,w53572390_0,0,14,123.4497964,41.7557514
footway,w53572390_0,0,15,123.4492894,41.7557584
footway,w53572390_0,0,16,123.4487916,41.7557650
footway,w53572390_0,0,17,123.4486443,41.7557657
footway,w53572390_0,0,18,123.4477307,41.7557456
footway,w53572390_0,0,19,123.4469738,41.7556282
footway,w53572390_0,0,20,123.4459127,41.7554196
footway,w53572390_0,0,21,123.4445875,41.7550241
footway,w53572390_0,0,22,123.4438206,41.7547953
footway,w53572390_0,0,23,123.4435762,41.7546086
footway,w53572390_0,0,24,123.4433761,41.7543997
footway,w53572390_0,0,25,123.4428376,41.7537129
footway,w53572390_0,0,26,123.4421784,41.7528453
footway,w53572390_0,0,27,123.4418503,41.7524355
footway,w53572390_0,0,28,123.4417796,41.7523473
footway,w53572390_0,0,29,123.4403466,41.7514431
footway,w53572390_0,0,30,123.4401458,41.7513164
footway,w53572390_0,0,31,123.4397531,41.7510960
footway,w53572390_0,0,32,123.4395083,41.7509586
footway,w53572390_0,0,33,123.4392119,41.7506672
footway,w53572390_0,0,34,123.4389944,41.7505117
footway,w53572390_0,0,35,123.4387428,41.7503319
footway,w53572390_0,0,36,123.4382523,41.7500970
